Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Alan Jackson;Silver Bells;Let It Be Christmas;2002;Country;03:35;;;;
Alan Jackson;Away in a Manger;Let It Be Christmas;2002;Country;02:49;;;;
Alan Jackson;Too Much of a Good Thing;What I Do;2004;Country;03:08;;;;
Alan Jackson;Rainy Day In June;What I Do;2004;Country;04:40;;;;
Alan Jackson;USA Today;What I Do;2004;Country;03:24;;;;
Alan Jackson;If Love Was a River;What I Do;2004;Country;03:52;;;;
Alan Jackson;If French Fries Were Fat Free;What I Do;2004;Country;04:13;;;;
Alan Jackson;You Don't Have to Paint Me a Picture;What I Do;2004;Country;03:43;;;;
Alan Jackson;There Ya Go;What I Do;2004;Country;03:12;;;;
Alan Jackson;The Talkin' Song Repair Blues;What I Do;2004;Country;02:58;;;;
Alan Jackson;Strong Enough;What I Do;2004;Country;04:01;;;;
Alan Jackson;Monday Morning Church;What I Do;2004;Country;03:21;;;;
Alan Jackson;Burnin' the Honky Tonks Down;What I Do;2004;Country;04:51;;;;
Alan Jackson;To Do What I Do (Live);What I Do;2004;Country;03:00;;;;
Alan Jackson;Blessed Assurance;Precious Memories;2006;Country;01:54;;;;
Alan Jackson;Softly and Tenderly;Precious Memories;2006;Country;03:16;;;;
Alan Jackson;I Love to Tell the Story;Precious Memories;2006;Country;02:51;;;;
Alan Jackson;When We All Get to Heaven;Precious Memories;2006;Country;01:42;;;;
Alan Jackson;'Tis So Sweet to Trust In Jesus;Precious Memories;2006;Country;01:50;;;;
Alan Jackson;In the Garden;Precious Memories;2006;Country;02:53;;;;
Alan Jackson;Are You Washed In the Blood?;Precious Memories;2006;Country;01:16;;;;
Alan Jackson;I'll Fly Away;Precious Memories;2006;Country;02:11;;;;
Alan Jackson;What a Friend We Have In Jesus;Precious Memories;2006;Country;02:14;;;;
Alan Jackson;Standing On the Promises;Precious Memories;2006;Country;01:33;;;;
Alan Jackson;Turn Your Eyes Upon Jesus;Precious Memories;2006;Country;03:44;;;;
Alan Jackson;Leaning On the Everlasting Arms;Precious Memories;2006;Country;01:32;;;;
Alan Jackson;The Old Rugged Cross;Precious Memories;2006;Country;03:04;;;;
Alan Jackson;How Great Thou Art;Precious Memories;2006;Country;03:30;;;;
Alan Jackson;I Want to Stroll Over Heaven With You;Precious Memories;2006;Country;03:06;;;;
Alan Jackson;Anywhere On Earth You Are;Like Red On a Rose;2006;Country;04:16;;;;
Alan Jackson;Good Imitation of the Blues;Like Red On a Rose;2006;Country;03:24;;;;
Alan Jackson;Like Red On a Rose;Like Red On a Rose;2006;Country;03:33;;;;
Alan Jackson;Nobody Said That It Would Be Easy;Like Red On a Rose;2006;Country;03:44;;;;
Alan Jackson;Don't Change On Me;Like Red On a Rose;2006;Country;03:26;;;;
Alan Jackson;The Firefly's Song;Like Red On a Rose;2006;Country;03:57;;;;
